'Page number,'Key,'Value,'Confidence Score % (Key),'Confidence Score % (Value)
"'3","'CUPÓN DE PAGO EN:","'PESOS","'91.76113892","'91.76113892"
"'1","'CUPÓN DE PAGO EN:","'DOLARES","'92.67186737","'92.67186737"
"'3","'NIT:","'890.903.938-8","'95.19574738","'95.19574738"
"'1","'NIT:","'890.903.938-8","'95.19221497","'95.19221497"
"'2","'NIT:","'890.903.938-8","'95.42082977","'95.42082977"
"'4","'NIT:","'890.903.938-8","'95.38436890","'95.38436890"
"'3","'SEÑOR (A):","'","'92.06166840","'92.06166840"
"'1","'SEÑOR (A):","'","'92.05612183","'92.05612183"
"'1","'Tarjeta:","'","'91.54468536","'91.54468536"
"'3","'Tarjeta:","'","'91.58701324","'91.58701324"
"'3","'AÑO","'","'88.99455261","'88.99455261"
"'1","'AÑO","'","'89.03027344","'89.03027344"
"'3","'MES","'","'92.65791321","'92.65791321"
"'1","'MES","'","'92.72628021","'92.72628021"
"'3","'DÍA","'","'92.57167053","'92.57167053"
"'1","'DÍA","'","'92.57606506","'92.57606506"
"'3","'VALOR","'","'92.50947571","'92.50947571"
"'1","'VALOR","'","'92.53123474","'92.53123474"
"'3","'EFECTIVO","'","'86.62493896","'86.62493896"
"'1","'EFECTIVO","'","'86.40846252","'86.40846252"
"'3","'CHEQUE","'","'92.73625946","'92.73625946"
"'1","'CHEQUE","'","'92.78895569","'92.78895569"
"'1","'BANCO","'","'92.62010956","'92.62010956"
"'3","'BANCO","'","'92.58486176","'92.58486176"
"'3","'NÚMERO","'","'92.48988342","'92.48988342"
"'1","'NÚMERO","'","'92.52497101","'92.52497101"
"'3","'NIT:","'890.903.938-8","'94.93981934","'94.93981934"
"'1","'NIT:","'890.903.938-8","'94.88691711","'94.88691711"
"'3","'ESTADO DE CUENTA EN:","'PESOS","'94.68335724","'94.68335724"
"'1","'ESTADO DE CUENTA EN:","'DOLARES","'92.69168091","'92.69168091"
"'3","'Cupo Total","'$ 14,000,000.00","'95.26645660","'95.26645660"
"'1","'Cupo Total","'$ 14,000,000.00","'95.26618958","'95.26618958"
"'1","'Cupo de Avances","'$ 14,000,000.00","'95.56204987","'95.56204987"
"'3","'Cupo de Avances","'$ 14,000,000.00","'95.54445648","'95.54445648"
"'1","'Desde:","'30/12/2024","'86.54251099","'86.54251099"
"'3","'Desde:","'30/12/2024","'85.93794250","'85.93794250"
"'3","'Hasta:","'30/01/2025","'86.48798370","'86.48798370"
"'1","'Hasta:","'30/01/2025","'87.63792419","'87.63792419"
"'3","'Disponible Total","'$ 3,489,559.70","'95.45513153","'95.45513153"
"'1","'Disponible Total","'$ 3,489,559.70","'95.45016479","'95.45016479"
"'3","'Disponible Avances","'$ 3,489,559.70","'95.58980560","'95.58980560"
"'1","'Disponible Avances","'$ 3,489,559.70","'95.58524323","'95.58524323"
"'3","'Pague antes de","'17/02/2025","'95.65808868","'95.65808868"
"'1","'Pague antes de","'17/02/2025","'95.64689636","'95.64689636"
"'3","'Valor Pagado","'","'91.55537415","'91.55537415"
"'1","'Valor Pagado","'","'91.49991608","'91.49991608"
"'3","'Saldo anterior","'3,191,669.44","'93.71183777","'93.71183777"
"'1","'Saldo anterior","'2,165.50","'93.78866577","'93.78866577"
"'3","'Saldo en mora","'0.00","'93.71587372","'93.71587372"
"'1","'Saldo en mora","'0.00","'93.50254059","'93.50254059"
"'3","'+ Compras del mes","'7,651,313.00","'94.38431549","'94.38431549"
"'1","'Compras del mes","'853.34","'93.30586243","'93.30586243"
"'1","'+ Cuota compras del mes","'19.12","'75.54221344","'75.54221344"
"'3","'+ Cuota compras del mes","'7,571,132.44","'75.63162231","'75.63162231"
"'3","'+ Intereses de mora","'0.00","'93.18972778","'93.18972778"
"'1","'+ Intereses de mora","'0.00","'93.23848724","'93.23848724"
"'1","'+ Intereses de mora","'0.00","'93.88011932","'93.88011932"
"'3","'+ Intereses de mora","'0.00","'93.91782379","'93.91782379"
"'1","'Compra Internacional","'1,8646% 24,8186%","'73.96380615","'73.96380615"
"'3","'Compra un mes","'0,0000% 0,0000%","'91.38992310","'91.38992310"
"'3","'+ Intereses corrientes","'1,182.27","'94.15272522","'94.15272522"
"'1","'Intereses corrientes","'1.49","'93.08907318","'93.08907318"
"'3","'+ Intereses corrientes","'1,182.27","'94.50077820","'94.50077820"
"'1","'+ Intereses corrientes","'1.49","'94.44021606","'94.44021606"
"'1","'Avance Internacional","'1,8646% 24,8186%","'74.32096100","'74.32096100"
"'3","'Compra 2 36 meses","'1,8646% 24,8186%","'73.01824951","'73.01824951"
"'1","'+ Avances","'0.00","'93.41944885","'93.41944885"
"'3","'+ Avances","'0.00","'93.70735168","'93.70735168"
"'3","'+ Cuota avances","'0.00","'94.99880219","'94.99880219"
"'1","'+ Cuota avances","'0.00","'94.87402344","'94.87402344"
"'1","'Mora","'1,8646% 24,8186%","'91.97725677","'91.97725677"
"'3","'Impuestos","'1,8646% 24,8186%","'70.46739197","'70.46739197"
"'3","'+ Otros cargos","'48,490.00","'93.99913788","'93.99913788"
"'1","'+ Otros cargos","'0.00","'93.85428619","'93.85428619"
"'3","'Otros cargos","'48,490.00","'94.04878998","'94.04878998"
"'1","'Otros cargos","'0.00","'94.40699768","'94.40699768"
"'3","'Avances","'1,8646% 24,8186%","'70.16477966","'70.16477966"
"'1","'Pagos abonos","'2,331.60","'94.13731384","'94.13731384"
"'3","'Pagos abonos","'3,271,850.00","'94.17332458","'94.17332458"
"'3","'+ Cuota compras anteriores","'0.00","'94.98812866","'94.98812866"
"'1","'+ Cuota compras anteriores","'0.00","'94.89321899","'94.89321899"
"'3","'Mora","'1,8646% 24,8186%","'66.32187653","'66.32187653"
"'3","'Saldo a favor","'0.00","'92.94911957","'92.94911957"
"'1","'Saldo a favor","'0.00","'93.60353851","'93.60353851"
"'1","'Saldo a favor","'0.00","'94.61911011","'94.61911011"
"'3","'Saldo a favor","'0.00","'94.46987152","'94.46987152"
"'3","'Pagos total","'7,620,805.00","'94.71270752","'94.71270752"
"'1","'Pagos total","'689.00","'94.67523956","'94.67523956"
"'3","'Pago mínimo","'7,620,805.00","'94.91818237","'94.91818237"
"'1","'Pago mínimo","'21.00","'95.03395844","'95.03395844"
"'2","'Pag.","'22","'93.10932922","'93.10932922"
"'4","'Pag.","'2/2","'92.47315216","'92.47315216"
"'1","'Pag.","'1/2","'93.38175201","'93.38175201"
"'3","'Pag.","'1/2","'93.47836304","'93.47836304"
"'2","'Periodo facturado desde:","'30/12/2024","'95.31073761","'95.31073761"
"'4","'Periodo facturado desde:","'30/12/2024","'95.16684723","'95.16684723"
"'2","'hasta:","'30/01/2025","'95.55960083","'95.55960083"
"'4","'hasta:","'30/01/2025","'95.39507294","'95.39507294"
"'4","'ESTADO DE CUENTA EN:","'PESOS","'95.06774902","'95.06774902"
"'2","'ESTADO DE CUENTA EN:","'DOLARES","'95.18325806","'95.18325806"
"'3","'Tasas de interés vigente","'M.V. E.A.","'45.01213837","'45.01213837"
