"'Tasas de interés","'vigente","'","'Resumen Saldo Total","'Resumen Pago Mínimo","'",
"'","'","'","'Saldo anterior 2,165.50","'Saldo en mora","'0.00",
"'","'M.V.","'E.A.","'+ Compras del mes 853.34","'+ Cuota compras del mes","'19.12",
"'","'","'","'+ Intereses de mora 0.00","'+ Intereses de mora","'0.00",
"'Compra Internacional","'1,8646%","'24,8186%","'+ Intereses corrientes 1.49","'+ Intereses corrientes","'1.49",
"'Avance Internacional","'1,8646%","'24,8186%","'+ Avances 0.00","'+ Cuota avances","'0.00",
"'Mora","'1,8646%","'24,8186%","'+ Otros cargos 0.00","'+ Otros cargos","'0.00",
"'","'","'","'Pagos abonos 2,331.60","'+ Cuota compras anteriores","'0.00",
"'","'","'","'Saldo a favor 0.00","'Saldo a favor","'0.00",
"'","'","'","'Pagos total 689.00","'Pago mínimo","'21.00",
,,,,,

'Confidence Scores % (Table Cell)
""'70.16601563","'70.16601563","'70.16601563","'41.77246094","'80.37109375","'80.37109375",
"'58.39843750","'55.32226563","'52.39257813","'40.38085938","'42.28515625","'41.01562500",
"'51.46484375","'48.75488281","'46.14257813","'35.57128906","'37.25585938","'36.13281250",
"'52.53906250","'49.78027344","'47.11914063","'36.32812500","'38.06152344","'36.91406250",
"'52.19726563","'49.48730469","'46.82617188","'36.08398438","'37.81738281","'36.66992188",
"'51.17187500","'48.51074219","'45.89843750","'35.37597656","'37.06054688","'35.96191406",
"'52.97851563","'50.19531250","'47.53417969","'36.62109375","'38.37890625","'37.23144531",
"'50.43945313","'47.80273438","'45.23925781","'34.86328125","'36.52343750","'35.42480469",
"'47.72949219","'45.23925781","'42.79785156","'33.00781250","'34.57031250","'33.52050781",
"'55.61523438","'52.73437500","'49.90234375","'38.45214844","'40.28320313","'39.08691406",
