'Page number,'Key,'Value,'Normalized,'Confidence score % (Key),'Confidence score % (Value)
"'1",',"'Bancolombia","'NAME","'","'97.97323608"
"'1",',"'Bancolombia","'NAME","'","'87.77606201"
"'1","'NIT:","'890.903.938-8","'TAX_PAYER_ID","'59.19906616","'66.88937378"
"'1","'NIT:","'890.903.938-8","'TAX_PAYER_ID","'84.12994385","'90.75241089"
"'1","'Cupo Total","'$ 14,000,000.00","'SUBTOTAL","'83.59070587","'53.84944534"
"'1","'Disponible Total","'$ 3,489,559.70","'SUBTOTAL","'96.43144989","'83.40896606"
"'1","'Disponible Avances","'$ 3,489,559.70","'SUBTOTAL","'93.23075867","'52.38536072"
"'1","'Pagos total","'689.00","'SUBTOTAL","'61.24470139","'61.64984894"
"'1",',"'Bancolombia","'VENDOR_NAME","'","'97.97323608"
"'1",',"'Bancolombia","'VENDOR_NAME","'","'87.77606201"
"'1",',"'www.puntoscolombia.com","'VENDOR_URL","'","'92.57865906"
"'1","'CUPÓN DE PAGO EN:","'DOLARES","'OTHER","'97.06229401","'99.07391357"
"'1","'FECHA DE PAGO""MES","'812","'OTHER","'68.54837799","'71.62654114"
"'1","'ESTADO DE CUENTA EN:","'DOLARES","'OTHER","'95.71302032","'97.92421722"
"'1","'Cupo de Avances","'$ 14,000,000.00","'OTHER","'95.84194183","'79.02863312"
"'1","'Desde:","'30/12/2024","'OTHER","'99.60900879","'97.42847443"
"'1","'Hasta:","'30/01/2025","'OTHER","'99.37094116","'97.29075623"
"'1","'Pague antes de","'17/02/2025","'OTHER","'97.09330750","'99.29089355"
"'1","'Pagos abonos","'2,331.60","'OTHER","'85.21620178","'97.68552399"
"'1","'Saldo a favor","'0,00","'OTHER","'80.42214203","'97.29244232"
"'1","'Saldo a favor","'0,00","'OTHER","'79.57945251","'91.17228699"
"'1","'Pago mínimo","'21.00","'OTHER","'98.62988281","'98.36396790"
"'1","'Otros cargos: Este valor incluye los siguientes conceptos:","'Comisión avance, cuota de manejo, IVA por reexpedición. GMF y cobro por reexpedición","'OTHER","'92.99375153","'89.14810944"
"'1","'Pag.","'1/2","'OTHER","'99.28671265","'83.27367401"
