"'Número de Autorización","'Fecha de Transacción","'Descripción","'Valor Original","'Tasa Pactada","'Tasa EA Facturada","'Cargos y Abonos","'Saldo a Diferir","'Cuotas",
"'","'30/01/2025","'INTERESES CORRIENTES","'1.49","'","'","'1.49","'0.00","'",
"'T00426","'25/01/2025","'APPLE.COM/BILL VR MONEDA ORIG 27800.0 USA","'6.55","'1,8646","'24,8186","'0.18","'6.37","'1/36",
"'T02646","'23/01/2025","'APPLE.COM/BILL VR MONEDA ORIG 51400.0 USA","'11.94","'1,8646","'24,8186","'0.33","'11.61","'1/36",
"'T05318","'22/01/2025","'APPLE.COM/BILL VR MONEDA ORIG 28900.0 USA","'6.65","'1,8646","'24,8186","'0.18","'6.47","'1/36",
"'T04808","'22/01/2025","'APPLE.COM/BILL VR MONEDA ORIG 54500.0 USA","'12.55","'1,8646","'24,8186","'0.35","'12.20","'1/36",
"'T05891","'19/01/2025","'APPLE.COM/BILL VR MONEDA ORIG 44900,0 USA","'10.35","'1,8646","'24,8186","'0.29","'10.06","'1/36",
"'T06913","'15/01/2025","'Nintendo CA1340869938","'24.99","'1,8646","'24,8186","'0.69","'24.30","'1/36",
"'T04471","'15/01/2025","'Nintendo CA1341237865","'2.19","'1,8646","'24,8186","'0.06","'2.13","'1/36",
"'R01044","'14/01/2025","'OPENAI *CHATGPT SUBSCR","'20.00","'1,8646","'24,8186","'0.56","'19.44","'1/36",
"'T04122","'12/01/2025","'PAYPAL *MULLVAD VR MONEDA ORIG 23549.0 SWE","'5.45","'1,8646","'24,8186","'0.15","'5.30","'1/36",
"'R00743","'11/01/2025","'WDFG MADRID T4 2 VR MONEDA ORIG 000000004215 ES","'45.09","'1,8646","'24,8186","'1.25","'43.84","'1/36",
"'F01354","'10/01/2025","'PETIT CAFE EL GRECO VR MONEDA ORIG 15,3 ESP","'15.80","'1,8646","'24,8186","'0.44","'15.36","'1/36",
"'R04864","'10/01/2025","'TAXI FLORENTINO VR MONEDA ORIG 14,1 ESP","'14.61","'1,8646","'24,8186","'0.41","'14.20","'1/36",
"'R04865","'10/01/2025","'SPLICE.COM* SOUNDS 100","'7.99","'1,8646","'24,8186","'0.22","'7.77","'1/36",
"'R09267","'09/01/2025","'TAXI SEVILLA LIC 1269","'6.85","'1,8646","'24,8186","'0.19","'6.66","'1/36",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'95.55664063","'92.48046875","'95.99609375","'96.19140625","'94.87304688","'95.11718750","'96.33789063","'95.84960938","'89.64843750",
"'74.70703125","'72.31445313","'75.04882813","'75.19531250","'74.16992188","'74.36523438","'75.29296875","'74.95117188","'70.11718750",
"'91.25976563","'88.28125000","'91.65039063","'91.84570313","'90.62500000","'90.82031250","'91.99218750","'91.50390625","'85.64453125",
"'91.50390625","'88.52539063","'91.89453125","'92.08984375","'90.82031250","'91.06445313","'92.23632813","'91.74804688","'85.83984375",
"'92.04101563","'89.06250000","'92.48046875","'92.67578125","'91.40625000","'91.65039063","'92.77343750","'92.33398438","'86.37695313",
"'90.57617188","'87.64648438","'91.01562500","'91.16210938","'89.94140625","'90.18554688","'91.30859375","'90.86914063","'85.00976563",
"'92.72460938","'89.69726563","'93.11523438","'93.31054688","'92.04101563","'92.28515625","'93.45703125","'93.01757813","'87.01171875",
"'84.37500000","'81.68945313","'84.76562500","'84.96093750","'83.78906250","'84.03320313","'85.05859375","'84.66796875","'79.19921875",
"'85.10742188","'82.37304688","'85.49804688","'85.64453125","'84.52148438","'84.71679688","'85.79101563","'85.35156250","'79.88281250",
"'83.54492188","'80.85937500","'83.93554688","'84.08203125","'82.95898438","'83.15429688","'84.22851563","'83.78906250","'78.41796875",
"'91.45507813","'88.47656250","'91.84570313","'92.04101563","'90.77148438","'91.01562500","'92.18750000","'91.69921875","'85.79101563",
"'91.11328125","'88.18359375","'91.50390625","'91.69921875","'90.47851563","'90.67382813","'91.84570313","'91.40625000","'85.49804688",
"'91.55273438","'88.57421875","'91.94335938","'92.13867188","'90.86914063","'91.11328125","'92.28515625","'91.79687500","'85.88867188",
"'92.82226563","'89.79492188","'93.21289063","'93.40820313","'92.13867188","'92.38281250","'93.55468750","'93.06640625","'87.10937500",
"'67.57812500","'65.38085938","'67.87109375","'68.01757813","'67.08984375","'67.28515625","'68.11523438","'67.77343750","'63.42773438",
"'91.01562500","'88.08593750","'91.40625000","'91.60156250","'90.38085938","'90.57617188","'91.74804688","'91.30859375","'85.40039063",
